ID,Canopy Height,Plant Height,Vegetarian Wet %,Vegetarian Dry %,Root Wet %,Root Dry %,Leaf Area,Leaf Count,Root Depth,Root Length
R1,34.53346786,54.56698291,1.147449016,18.39998155,2.949240289,57.63390559,1284.229549,4.99971308,16.27491791,19.73903737
R1,34.48902831,54.56769212,1.149529798,18.3982885,2.943137388,57.63369711,1284.247744,5.024259155,16.26945189,19.75883572
R2,33.10040473,67.06734371,1.104647206,19.39878878,2.861635025,41.28987495,1009.208996,5.007651978,15.98075994,20.84082189
R1,34.49831859,54.55904852,1.13775887,18.41361347,2.946784109,57.64566137,1284.227623,4.991501282,16.27670962,19.73609793
R3,36.29700834,45.58889401,1.363205473,31.42377191,2.766242103,27.89861851,981.4703102,4.003681876,16.97989363,17.33189388
R3,36.28772173,45.59858469,1.353790073,31.40363916,2.745382248,27.92701718,981.4609934,3.998620867,16.99160277,17.32486064
R1,34.49886945,54.55624677,1.165056074,18.41468753,2.947532059,57.62721914,1284.237645,4.992955067,16.26728226,19.71591608
R2,33.10555789,67.07340617,1.0974441,19.40730665,2.84752611,41.30476216,1009.239638,4.991835243,15.96558786,20.8381774
R2,33.09244759,67.06165906,1.103098424,19.38757287,2.857965394,41.31804856,1009.218887,4.995130894,15.96476098,20.82433484
R1,34.48369493,54.57112728,1.178899447,18.41464326,2.968609117,57.63875624,1284.224034,4.982078082,16.27388393,19.74534713
R1,34.48356336,54.56473774,1.140096667,18.39050404,2.961477775,57.64335126,1284.246212,4.993761516,16.26243328,19.71592744
R2,33.08300201,67.05280607,1.114227422,19.39618909,2.855659956,41.30844477,1009.209977,5.012750773,15.95738233,20.85106376
R1,34.50336976,54.56071779,1.167435254,18.39346261,2.965141612,57.64013063,1284.235962,4.994478615,16.26127654,19.73562463
R2,33.10105355,67.08799953,1.103693495,19.40914713,2.853920759,41.29404585,1009.230921,5.011843296,15.96366903,20.84183489
R1,34.50224305,54.5440368,1.157089042,18.40543176,2.963975356,57.6302513,1284.23495,5.013256392,16.27437973,19.72625379
